1,CAI1,Communication anglophone contextualisée I,2,24
1,CPT1,Comptabilité contextualisée I,2,24
1,DEV1,Développement I,10,114
1,INT1,Introduction à l'informatique,10,108
1,MAT1,Mathématique contextualisée,6,72
2,ALG2,Algorithmique II,2,24
2,ANA2,Analyse I,2,24
2,CAI2,Communication anglophone contextualisée II,2,24
2,DEV2,Développement II,6,60
2,DON2,Persistance des données I,5,48
2,MIC2,Microprocesseurs + laboratoires,3,48
2,STA2,Statistique contextualisée,3,48
2,SYS2,Systèmes d'exploitation I,2,24
3,ALG3,Algorithmique,4,48
3,ANA3,Analyse II,4,60
3,DEV3,Développement III,6,72
3,DON3,Persistance des données II,5,48
4,DEV4,Développement IV,3,24
4,DON4,Persistance des données III,3,24
5,VEI5,Veilles technologiques,1,24